ticker,date,strategy,signal,horizon,entry_price,future_price,markout_pct,timesteps
AAPL,2025-10-21,Hybrid,BUY,1,262.27,257.96,-1.644,100000
AAPL,2025-10-21,Hybrid,BUY,2,262.27,259.09,-1.214,100000
AAPL,2025-10-21,Hybrid,BUY,3,262.27,262.32,0.019,100000
AAPL,2025-10-21,Hybrid,BUY,5,262.27,268.49,2.3709,100000
AAPL,2025-10-21,Hybrid,BUY,10,262.27,269.53,2.7667,100000
AAPL,2025-10-21,Hybrid,BUY,21,262.27,268.31,2.3025,100000
AAPL,2025-10-21,RL,BUY,1,262.27,257.96,-1.644,100000
AAPL,2025-10-21,RL,BUY,2,262.27,259.09,-1.214,100000
AAPL,2025-10-21,RL,BUY,3,262.27,262.32,0.019,100000
AAPL,2025-10-21,RL,BUY,5,262.27,268.49,2.3709,100000
AAPL,2025-10-21,RL,BUY,10,262.27,269.53,2.7667,100000
AAPL,2025-10-21,RL,BUY,21,262.27,268.31,2.3025,100000
AAPL,2025-10-22,Hybrid,BUY,1,257.96,259.09,0.4372,100000
AAPL,2025-10-22,Hybrid,BUY,2,257.96,262.32,1.6909,100000
AAPL,2025-10-22,Hybrid,BUY,3,257.96,268.3,4.0085,100000
AAPL,2025-10-22,Hybrid,BUY,5,257.96,269.19,4.3529,100000
AAPL,2025-10-22,Hybrid,BUY,10,257.96,269.63,4.5231,100000
AAPL,2025-10-22,Hybrid,BUY,21,257.96,266.0,3.1179,100000
AAPL,2025-10-22,RL,BUY,1,257.96,259.09,0.4372,100000
AAPL,2025-10-22,RL,BUY,2,257.96,262.32,1.6909,100000
AAPL,2025-10-22,RL,BUY,3,257.96,268.3,4.0085,100000
AAPL,2025-10-22,RL,BUY,5,257.96,269.19,4.3529,100000
AAPL,2025-10-22,RL,BUY,10,257.96,269.63,4.5231,100000
AAPL,2025-10-22,RL,BUY,21,257.96,266.0,3.1179,100000
AAPL,2025-10-27,Hybrid,BUY,1,268.3,268.49,0.0707,100000
AAPL,2025-10-27,Hybrid,BUY,2,268.3,269.19,0.3311,100000
AAPL,2025-10-27,Hybrid,BUY,3,268.3,270.88,0.9635,100000
AAPL,2025-10-27,Hybrid,BUY,5,268.3,268.54,0.0893,100000
AAPL,2025-10-27,Hybrid,BUY,10,268.3,269.18,0.3278,100000
AAPL,2025-10-27,Hybrid,BUY,21,268.3,276.71,3.1355,100000
